OF_Ratio,Chamber_Temp_R,Throat_Temp_R,Exit_Temp_R,Gamma_Chamber,Gamma_Throat,Molar_Mass_g_mol,Vac_Isp_s,Cstar_m_s
3,4806.45,4309.9,1390.91,1.2261,1.2389,22.62,282.24,1513.9
3.1,4908.28,4412.71,1407.45,1.2205,1.2344,22.88,284.25,1523.48
3.2,5003.61,4510.8,1430.77,1.2148,1.2296,23.14,286.15,1532.32
3.3,5092.46,4604.16,1460.7,1.2089,1.2246,23.39,287.95,1540.44
3.4,5174.79,4692.77,1494.79,1.203,1.2194,23.62,289.65,1547.9
3.5,5250.59,4776.55,1530.62,1.197,1.214,23.86,291.25,1554.72
3.6,5319.85,4855.38,1566.97,1.1911,1.2082,24.08,292.75,1560.91
3.7,5382.6,4929.1,1603.42,1.1853,1.2023,24.29,294.17,1566.46
3.8,5438.94,4997.5,1639.89,1.1798,1.1962,24.5,295.5,1571.39
3.9,5489.03,5060.4,1676.36,1.1745,1.19,24.69,296.76,1575.67
4,5533.12,5117.61,1712.91,1.1697,1.1838,24.88,297.94,1579.29
4.1,5571.51,5169.01,1749.57,1.1653,1.1778,25.05,299.05,1582.25
4.2,5604.59,5214.56,1786.43,1.1614,1.1721,25.22,300.09,1584.54
4.3,5632.78,5254.36,1823.55,1.158,1.1668,25.38,301.07,1586.18
4.4,5656.53,5288.62,1860.98,1.155,1.162,25.53,301.98,1587.21
4.5,5676.28,5317.64,1898.8,1.1525,1.1579,25.66,302.84,1587.65
4.6,5692.46,5341.84,1937.05,1.1504,1.1543,25.8,303.63,1587.58
4.7,5705.48,5361.64,1975.81,1.1487,1.1513,25.92,304.37,1587.04
4.8,5715.71,5377.53,2015.14,1.1472,1.1488,26.03,305.05,1586.1
4.9,5723.48,5389.94,2055.12,1.1461,1.1467,26.14,305.67,1584.82
5,5729.1,5399.29,2095.83,1.1451,1.1451,26.25,306.25,1583.25
5.1,5732.82,5405.96,2137.39,1.1444,1.1438,26.34,306.76,1581.43
5.2,5734.89,5410.31,2179.95,1.1438,1.1429,26.44,307.23,1579.41
5.3,5735.51,5412.63,2223.71,1.1434,1.1422,26.52,307.63,1577.22
5.4,5734.85,5413.19,2268.93,1.1431,1.1417,26.61,307.97,1574.89
5.5,5733.06,5412.21,2316.08,1.1429,1.1414,26.69,308.24,1572.46
5.6,5730.29,5409.88,2366.02,1.1428,1.1412,26.76,308.42,1569.94
5.7,5726.65,5406.39,2421.31,1.1428,1.1412,26.83,308.46,1567.34
5.8,5722.25,5401.88,2413.8,1.1429,1.1413,26.9,307.84,1564.69
5.9,5717.16,5396.47,2377.19,1.143,1.1415,26.96,306.94,1562
6,5711.47,5390.28,2343.49,1.1431,1.1417,27.03,306.01,1559.28
